GEOID ,NAMELSAD,Shape_Area,Area_Acres,Area_mi2
24510272007,Census Tract 2720.07,8635607.76,198.2454825,0.309759805
24510120202,Census Tract 1202.02,10567489.22,242.5952008,0.379056518
24510272005,Census Tract 2720.05,9986757.384,229.2634857,0.358225629
24510120201,Census Tract 1202.01,3745908.69,85.99388675,0.134365986
24510272004,Census Tract 2720.04,7630552.927,175.1726907,0.273708424
24510272006,Census Tract 2720.06,7930308.458,182.0541032,0.284460674
24510280500,Census Tract 2805,9945122.315,228.3076798,0.356732177
24510260202,Census Tract 2602.02,11254632.31,258.3697725,0.403704384
24510260203,Census Tract 2602.03,9184328.727,210.8423322,0.329442462
24510260301,Census Tract 2603.01,6537325.337,150.0757389,0.23449428
24510260302,Census Tract 2603.02,9653333.364,221.6091541,0.346265688
24510260303,Census Tract 2603.03,13119134.59,301.1726839,0.470584201
24510260401,Census Tract 2604.01,14435304.69,331.3876709,0.517795307
24510090200,Census Tract 902,21818107.48,500.872824,0.782616918
24510090300,Census Tract 903,8537798.24,196.0000939,0.306251372
24510090400,Census Tract 904,3791294.253,87.03579172,0.135993969
24510090500,Census Tract 905,7982110.041,183.2432992,0.2863188
24510090600,Census Tract 906,4276021.668,98.16355748,0.153381172
24510090700,Census Tract 907,4683000.05,107.5064582,0.167979513
24510260403,Census Tract 2604.03,18371956.3,421.7603951,0.659003253
24510260402,Census Tract 2604.02,14406838.66,330.7341834,0.516774229
24510260404,Census Tract 2604.04,48081224.49,1103.788617,1.724676613
24510260501,Census Tract 2605.01,34671229.98,795.9387349,1.243659248
24510090800,Census Tract 908,9106397.014,209.0532734,0.326647046
24510100200,Census Tract 1002,3279493.862,75.28651847,0.117635656
24510100300,Census Tract 1003,1682411.584,38.62270098,0.060348212
24510110100,Census Tract 1101,3378852.031,77.56745903,0.12119964
24510110200,Census Tract 1102,7750449.154,177.9251183,0.278009109
24510120100,Census Tract 1201,11152320.94,256.021036,0.400034469
24510120300,Census Tract 1203,4347822.359,99.81186794,0.155956667
24510120500,Census Tract 1205,5753574.051,132.0833571,0.206381071
24510120600,Census Tract 1206,5435181.8,124.7741061,0.194960321
24510280600,Census Tract 2806,6203117.897,142.4034225,0.222506238
24510260605,Census Tract 2606.05,184420347.1,4233.691677,6.615169706
24510261100,Census Tract 2611,2365597.322,54.30642468,0.084854128
24510270101,Census Tract 2701.01,10293827.51,236.3128175,0.369240254
24510270102,Census Tract 2701.02,10989846.29,252.2911462,0.394206493
24510270200,Census Tract 2702,10101761.52,231.9036069,0.362350835
24510270301,Census Tract 2703.01,12254564.76,281.3249711,0.439572026
24510270302,Census Tract 2703.02,5589096.366,128.3074842,0.200481246
24510210100,Census Tract 2101,15935618.44,365.8299975,0.571611658
24510220100,Census Tract 2201,15497339.26,355.7685324,0.555890555
24510230300,Census Tract 2303,21784848.96,500.1093164,0.781423933
24510240100,Census Tract 2401,45848726.09,1052.537711,1.644596752
24510210200,Census Tract 2102,25823604.74,592.8260204,0.926294362
24510240200,Census Tract 2402,8048221.834,184.761011,0.288690235
24510271600,Census Tract 2716,9152200.867,210.104781,0.328290033
24510271700,Census Tract 2717,18665054.04,428.4889664,0.669516688
24510230100,Census Tract 2301,3620269.921,83.10962901,0.129859315
24510140100,Census Tract 1401,6102463.463,140.0927239,0.218895757
24510270600,Census Tract 2706,16722148.3,383.8861664,0.599824534
24510270401,Census Tract 2704.01,15685445.82,360.0868476,0.56263795
24510151200,Census Tract 1512,8392224.944,192.6582042,0.301029648
24510151300,Census Tract 1513,9981890.979,229.1517689,0.358051071
24510160400,Census Tract 1604,4193203.267,96.26231621,0.150410471
24510160700,Census Tract 1607,10420201.49,239.2139533,0.373773297
24510160801,Census Tract 1608.01,4194519.177,96.29252522,0.150457672
24510160802,Census Tract 1608.02,13202268.23,303.0811622,0.47356621
24510270702,Census Tract 2707.02,9010603.657,206.8541693,0.323210932
24510270801,Census Tract 2708.01,8683026.33,199.3340587,0.311460713
24510270703,Census Tract 2707.03,10698452.53,245.6016928,0.38375418
24510270802,Census Tract 2708.02,11835197.24,271.697656,0.424529286
24510271400,Census Tract 2714,18485723.24,424.3721142,0.663084081
24510271501,Census Tract 2715.01,39250671.25,901.0678202,1.407924101
24510120700,Census Tract 1207,11234826.18,257.9150883,0.402993937
24510130100,Census Tract 1301,3350320.594,76.91247,0.120176215
24510170100,Census Tract 1701,3036764.421,69.71423952,0.108928935
24510170200,Census Tract 1702,5317184.996,122.065283,0.190727768
24510170300,Census Tract 1703,3291753.695,75.56796438,0.118075417
24510200200,Census Tract 2002,9976074.823,229.0182488,0.357842445
24510200300,Census Tract 2003,2627835.698,60.32656535,0.094260635
24510200400,Census Tract 2004,4175157.967,95.84805479,0.149763185
24510270803,Census Tract 2708.03,23603375.19,541.8567672,0.846654585
24510270805,Census Tract 2708.05,13435718,308.4404099,0.481940068
24510270901,Census Tract 2709.01,7291666.762,167.3929659,0.261552555
24510270902,Census Tract 2709.02,12193966.15,279.9338241,0.43739835
24510270804,Census Tract 2708.04,7765775.327,178.2769574,0.27855886
24510271503,Census Tract 2715.03,8012723.649,183.9460881,0.287416912
24510180300,Census Tract 1803,3116641.302,71.54795306,0.111794124
24510190100,Census Tract 1901,4123749.205,94.66787672,0.147919149
24510200500,Census Tract 2005,7029185.73,161.3672547,0.252137344
24510200600,Census Tract 2006,19385029.5,445.0172625,0.695342254
