Corridor,Population,Total households,Household population,Pop. density per sq mile,Income_past_12mos_below_pov_level,Persons_poverty_status_determined,Pop_16_yrs_and_over,Pop_in_labor_force,Pop_NOT_in_labor_force,Employed_civilians,Unemployed_civilians,Workers_16_yrs_and_over,Population_25_yrs_and_over,"# persons 12th grade, no diploma",# persons graduated high school,# persons Associate's degree,# persons Bachelor's degree,Pop. Asian,Pop. Black,Pop. Hispanic origin,Pop. white,Pop. two or more races,# Foreign-born,Total pop. in occupied housing units by tenure,Total occupied units,Total owner-occupied units,Total renter-occupied units,No_vehicle_available_owneroccupied_unit,No_vehicle_available_renteroccupied_unit,"# households with computer, no internet subscription",# households no computer,Pop. <18 years,Pop. working age,Pop. 65+ years,Commute_to_work_public_transportation,Civilian_employed_pop_16yrs_and_over,Construction count,Manufacturing count,Retail_Trade count,Transportation_warehousing_utilities count,Finance_insurance_realestate count,Professional_scientific_mgmt_administrative count,Educational_healthcare_social count,Accommodations_foodservices_arts_entertainment count,Public_administration count,Area_Acres,Area_mi2,Home ownership rate,Poverty rate,Unemployment rate,Average hh size,Number units with no vehicle available,Percent units with no vehicle available,Percent commute to work public transportation,Percent Asian,Percent Black,Percent Hispanic origin,Percent White,Percent two or more races,"Percent 12th grade, no diploma",Percent graduated high school,Percent earned Associate's degree,Percent earned Bachelor's degree,"Percent computer, no internet subscription",Percent no computer,Percent less than 18 yrs old,Percent working age,Percent 65 or older,Percent Foreign-born,Construction,Manufacturing,Retail Trade,"Transportation, warehousing, utilities","Finance, insurance, real estate","Professional, scientific, mgmt, administrative","Educational services, health care, social assistance","Accommodations, food services, arts, entertainment",Public administration,Business vacancies <24 months,Business vacancies >24 months,Business no-stat <24 months,Business no-stat >24 months,Year
Belair Rd,35458.0,12487.0,33302.0,8265.4,7420.0,33273.0,27588.0,16396.0,11192.0,14534.0,1849.0,14391.0,21967.0,418.0,6322.0,1000.0,3054.0,262.0,27182.0,768.0,6907.0,732.0,1227.0,17910.0,12487.0,6870.0,5617.0,752.0,2741.0,1142.0,1956.0,4277.0,12801.0,2335.0,2818.0,14534.0,644.0,466.0,1206.0,1127.0,838.0,1746.0,4463.0,1165.0,1649.0,2745.53166744,4.289910391,55.0,22.3,6.7,2.67,3493.0,28.0,19.6,0.7,76.7,2.2,19.5,2.1,1.9,28.8,4.6,13.9,9.1,15.7,12.1,36.1,6.6,3.5,4.4,3.2,8.3,7.8,5.8,12.0,30.7,8.0,11.3,18,43,206,207,2021
Brooklyn,13989.0,5613.0,13954.0,6284.4,3203.0,13938.0,11356.0,7586.0,3770.0,6975.0,611.0,6870.0,10238.0,209.0,2679.0,440.0,1616.0,649.0,4837.0,1615.0,7106.0,667.0,1710.0,5970.0,5613.0,2166.0,3447.0,138.0,1223.0,852.0,665.0,2459.0,7067.0,1706.0,1206.0,6975.0,345.0,366.0,998.0,252.0,339.0,966.0,1828.0,566.0,562.0,1424.6176735,2.225974019,38.6,23.0,5.4,2.49,1361.0,24.2,17.6,4.6,34.6,11.5,50.8,4.8,2.0,26.2,4.3,15.8,15.2,11.8,17.6,50.5,12.2,12.2,4.9,5.2,14.3,3.6,4.9,13.8,26.2,8.1,8.1,16,94,323,300,2021
E Monument St,48947.0,19537.0,48257.0,10155.1,12082.0,48357.0,38934.0,24444.0,14490.0,22049.0,2347.0,21747.0,33241.0,450.0,8175.0,1396.0,5413.0,1666.0,31596.0,2681.0,13139.0,1317.0,4331.0,20282.0,19537.0,7747.0,11790.0,934.0,5757.0,2083.0,2976.0,12086.0,37542.0,7341.0,4433.0,22049.0,773.0,723.0,1886.0,1019.0,1262.0,2860.0,8155.0,1913.0,1561.0,3084.74391577,4.819931648,39.7,25.0,6.0,2.47,6691.0,34.2,20.4,3.4,64.6,5.5,26.8,2.7,1.4,24.6,4.2,16.3,10.7,15.2,24.7,76.7,15.0,8.8,3.5,3.3,8.6,4.6,5.7,13.0,37.0,8.7,7.1,35,141,359,379,2021
Greektown,10968.0,3832.0,10821.0,4134.0,1118.0,10631.0,8559.0,5908.0,2651.0,5716.0,180.0,5633.0,7662.0,224.0,1426.0,288.0,1397.0,320.0,848.0,3107.0,7593.0,563.0,3067.0,5671.0,3832.0,2352.0,1480.0,211.0,221.0,310.0,542.0,1651.0,5586.0,1210.0,758.0,5716.0,648.0,518.0,448.0,131.0,450.0,886.0,1162.0,731.0,234.0,1697.9900352,2.653120043,61.4,10.5,2.1,2.82,432.0,11.3,13.5,2.9,7.7,28.3,69.2,5.1,2.9,18.6,3.8,18.2,8.1,14.1,15.1,50.9,11.0,28.0,11.3,9.1,7.8,2.3,7.9,15.5,20.3,12.8,4.1,9,27,192,201,2021
Hamilton Lauraville,36997.0,13384.0,35548.0,7548.4,5274.0,35323.0,28914.0,18848.0,10066.0,17503.0,1345.0,17185.0,24863.0,455.0,5671.0,1328.0,4598.0,796.0,18030.0,2539.0,16083.0,1364.0,2724.0,24757.0,13384.0,9210.0,4174.0,722.0,1155.0,953.0,1563.0,9618.0,23625.0,5135.0,1282.0,17503.0,893.0,924.0,1740.0,975.0,1031.0,2024.0,5802.0,1179.0,1419.0,3136.81993371,4.901300752,68.8,14.9,4.7,2.66,1877.0,14.0,7.5,2.2,48.7,6.9,43.5,3.7,1.8,22.8,5.3,18.5,7.1,11.7,26.0,63.9,13.9,7.4,5.1,5.3,9.9,5.6,5.9,11.6,33.1,6.7,8.1,25,107,383,369,2021
Hampden,27062.0,8497.0,19748.0,9370.7,2467.0,19829.0,23804.0,12242.0,11562.0,11381.0,857.0,11206.0,18210.0,377.0,3287.0,726.0,3622.0,801.0,11687.0,1019.0,13459.0,788.0,1592.0,11625.0,8497.0,4828.0,3669.0,385.0,1193.0,458.0,1241.0,4454.0,13722.0,3251.0,1283.0,11381.0,374.0,491.0,805.0,375.0,785.0,1495.0,4022.0,1169.0,632.0,1848.27795878,2.887945863,56.8,12.4,3.6,2.32,1578.0,18.6,11.4,3.0,43.2,3.8,49.7,2.9,2.1,18.1,4.0,19.9,5.4,14.6,16.5,50.7,12.0,5.9,3.3,4.3,7.1,3.3,6.9,13.1,35.3,10.3,5.6,38,80,181,163,2021
Highlandtown,26400.0,11368.0,25721.0,6478.9,4471.0,25936.0,21875.0,14404.0,7471.0,13660.0,733.0,13503.0,19653.0,207.0,4174.0,618.0,4709.0,605.0,11185.0,2210.0,13564.0,650.0,2102.0,15009.0,11368.0,6198.0,5170.0,395.0,1683.0,1459.0,1468.0,5499.0,15031.0,2698.0,1597.0,13660.0,1055.0,676.0,821.0,638.0,1187.0,1810.0,4091.0,964.0,1075.0,2607.8406661,4.074767339999999,54.5,17.2,3.4,2.26,2078.0,18.3,11.8,2.3,42.4,8.4,51.4,2.5,1.1,21.2,3.1,24.0,12.8,12.9,20.8,56.9,10.2,8.0,7.7,4.9,6.0,4.7,8.7,13.3,29.9,7.1,7.9,39,91,318,332,2021
Irvington,11585.0,4633.0,11291.0,5826.8,1839.0,11334.0,9565.0,6193.0,3372.0,5845.0,220.0,5935.0,8413.0,200.0,2299.0,426.0,1561.0,167.0,7648.0,224.0,3601.0,81.0,1799.0,5138.0,4633.0,2108.0,2525.0,252.0,876.0,309.0,711.0,2630.0,7252.0,1363.0,740.0,5845.0,246.0,543.0,966.0,294.0,194.0,653.0,1721.0,453.0,359.0,1272.45393199,1.988217222,45.5,16.2,2.3,2.44,1128.0,24.3,12.5,1.4,66.0,1.9,31.1,0.7,2.4,27.3,5.1,18.6,6.7,15.3,22.7,62.6,11.8,15.5,4.2,9.3,16.5,5.0,3.3,11.2,29.4,7.8,6.1,6,44,111,112,2021
North Ave,15602.0,5403.0,15490.0,10767.0,4929.0,15452.0,12543.0,6784.0,5759.0,5218.0,1566.0,5044.0,10537.0,412.0,3082.0,538.0,719.0,113.0,14042.0,392.0,899.0,239.0,438.0,6854.0,5403.0,2490.0,2913.0,758.0,1686.0,833.0,1430.0,3557.0,10099.0,1587.0,1418.0,5218.0,269.0,130.0,515.0,468.0,262.0,538.0,1603.0,514.0,477.0,927.39035957,1.449053232,46.1,31.9,12.5,2.87,2444.0,45.2,28.1,0.7,90.0,2.5,5.8,1.5,3.9,29.2,5.1,6.8,15.4,26.5,22.8,64.7,10.2,2.8,5.2,2.5,9.9,9.0,5.0,10.3,30.7,9.9,9.1,7,109,174,173,2021
Park Heights,14908.0,6156.0,14475.0,12257.5,3772.0,14737.0,12587.0,6940.0,5647.0,5988.0,952.0,5844.0,10938.0,299.0,2664.0,535.0,1758.0,1179.0,8763.0,602.0,4418.0,410.0,1821.0,6392.0,6156.0,2545.0,3611.0,383.0,1919.0,818.0,1038.0,2591.0,7955.0,1849.0,1534.0,5988.0,217.0,240.0,381.0,401.0,308.0,835.0,2254.0,437.0,412.0,778.38721491,1.216234888,41.3,25.6,7.6,2.35,2302.0,37.4,26.2,7.9,58.8,4.0,29.6,2.8,2.7,24.4,4.9,16.1,13.3,16.9,17.4,53.4,12.4,12.2,3.6,4.0,6.4,6.7,5.1,13.9,37.6,7.3,6.9,7,41,172,170,2021
Penn Ave,59969.0,24412.0,57069.0,8589.6,14610.0,57178.0,48426.0,29096.0,19330.0,26261.0,2760.0,25904.0,39735.0,772.0,10349.0,2122.0,6002.0,970.0,44976.0,1743.0,11974.0,1413.0,3295.0,23283.0,24412.0,8829.0,15583.0,1331.0,7909.0,3236.0,4587.0,12076.0,40105.0,9527.0,6199.0,26261.0,1093.0,1133.0,2439.0,1871.0,1246.0,3216.0,8190.0,2785.0,2448.0,4468.1847215200005,6.9815665540000005,36.2,25.6,5.7,2.34,9240.0,37.9,23.9,1.6,75.0,2.9,20.0,2.4,1.9,26.0,5.3,15.1,13.3,18.8,20.1,66.9,15.9,5.5,4.2,4.3,9.3,7.1,4.7,12.2,31.2,10.6,9.3,117,353,1140,1056,2021
Pigtown,24194.0,8919.0,23420.0,6669.8,5599.0,23396.0,19699.0,12388.0,7311.0,10979.0,1404.0,10804.0,16292.0,498.0,4849.0,796.0,1931.0,246.0,19965.0,766.0,3080.0,604.0,1375.0,10068.0,8919.0,3975.0,4944.0,546.0,2343.0,1149.0,1459.0,3540.0,10196.0,1964.0,2666.0,10979.0,506.0,456.0,1264.0,900.0,579.0,1044.0,3367.0,1199.0,894.0,2321.50996396,3.627373828,44.6,23.9,7.1,2.63,2889.0,32.4,24.7,1.0,82.5,3.2,12.7,2.5,3.1,29.8,4.9,11.9,12.9,16.4,14.6,42.1,8.1,5.7,4.6,4.2,11.5,8.2,5.3,9.5,30.7,10.9,8.1,31,193,274,267,2021
Pimlico,32244.0,12215.0,31707.0,3231.3,6678.0,31709.0,26135.0,14632.0,11503.0,13050.0,1577.0,12853.0,23130.0,684.0,7377.0,1290.0,2566.0,244.0,24613.0,1871.0,5957.0,578.0,2490.0,18691.0,12215.0,6943.0,5272.0,918.0,2444.0,1941.0,2325.0,4620.0,14517.0,3596.0,2199.0,13050.0,640.0,607.0,1301.0,1009.0,703.0,1103.0,4047.0,1165.0,1255.0,6386.3826794,9.978762852,56.8,21.1,6.0,2.6,3362.0,27.5,17.1,0.8,76.3,5.8,18.5,1.8,3.0,31.9,5.6,11.1,15.9,19.0,14.3,45.0,11.2,7.7,4.9,4.7,10.0,7.7,5.4,8.5,31.0,8.9,9.6,10,151,235,257,2021
